Acad. Yr,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited
2017-18,(beyond) Nationalism And Xenophobia In Central And Eastern Europe,Mihaela Czobor-Lupp,Spring,20,Romania,Romania
2017-18,Agricultural Sustainability In China And The U.S.,David Hougen-Eitzman,Winter Break,12,China,China
2017-18,Architectural Studies In Europe,Baird Jarman,Winter,23,Spain,"UK, France, Italy, Spain"
2017-18,Art Now:  Global Contemporary Art And The Mega Exhibitions,Ross Elfline,Summer,15,Italy,"Germany, Italy"
2017-18,English Literature And Theater In London,Elizabeth McKinsey,Spring,19,UK,UK
2017-18,French And Francophone Studies In Paris,Cathy Yandell,Spring,20,France,France
2017-18,Geology In New Zealand,Clint Cowan & Sarah Titus,Winter,24,New Zealand,New Zealand
2017-18,"Gep Buddhist Studies In Bodh Gaya, India",Arthur McKeown,Fall Semester,3,India,India
2017-18,Gep Globalization And Sustainable Development In Cameroon,Nicholas Hockin,Fall Semester,5,Cameroon,Cameroon
2017-18,Gep Women's And Gender Studies In Europe,Iveta Jusova,Fall Semester,8,Poland,"Germany, Czech Republic, Netherlands, Poland"
2017-18,German And European Studies In Berlin,Sigrun Leonhard & David Tompkins,Fall,17,Germany,Germany
2017-18,"Irish Literature, Art, Performance And Culture In Ireland",Pierre Hecker,Summer,15,Ireland,Ireland
2017-18,"Japanese Linguistics And Culture In Kyoto, Japan",Mike Flynn,Spring,18,Japan,Japan
2017-18,Language And Culture In Global Russia,Diane Nemec Ignashev,Spring,12,Russia,Russia
2017-18,Microeconomic Development In Bangladesh,Faress Bhuiyan,Winter Break,15,Bangladesh,Bangladesh
2017-18,Spanish Studies In Madrid,Humberto Huergo,Fall,17,Spain,Spain
2017-18,Sport And Globalization In London And Seville,Bob Carlson,Winter,22,UK,"UK, Spain"
2017-18,Studio Art: The New York Program,Dan Bruggeman,Winter Break,12,USA,USA
2017-18,Wilderness Studies At The Grand Canyon,George Vrtis,Spring Break,11,USA,USA
