Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
1996/08,1996/11,Art History In Amsterdam,Alison Kettering,Fall,19,The Netherlands,The Netherlands
1996/06,1996/08,Economics Seminar In Cambridge,Martha Paas,Summer,22,UK,UK
1996/06,1996/08,English Seminar In Ireland,James McDonnell,Summer,25,Ireland,Ireland
1997/03,1997/06,English Seminar In London,Tim Raylor,Spring,23,UK,UK
1997/03,1997/06,French Language In Pau I,Chérif Keïta,Spring,17,France,France
1996/12,1997/03,French Seminar In Paris,Marie-Christine Massé,Winter,19,France,France
1996/08,1996/11,German Seminar In Nuremberg,Roger Paas,Fall,15,Germany,Germany
1997/03,1997/06,Political Economy Seminar In Beijing,Roy Grow,Spring,34,China,China
1997/03,1997/06,Russian Seminar In Moscow,Anna Dotlibova,Spring,13,Russia,Russia
1996/12,1997/03,Spanish Seminar In Morelia,Diane Pearsall,Winter,19,Mexico,Mexico
1996/12,1997/03,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,NDA,Costa Rica,Costa Rica
