Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
1999/12,2000/03,Art History In Amsterdam,Alison Kettering,Winter Break,12,The Netherlands,The Netherlands
1999/06,1999/08,Economics Seminar In Cambridge,Michael Hemesath,Summer,24,UK,UK
2000/03,2000/06,English & Psychology Seminar In London,Constance Walker & Neil Lutsky,Spring,31,UK,UK
1999/08,1999/11,English Seminar In Ireland,Robert Tisdale,Fall,20,Ireland,Ireland
1999/12,2000/03,Francophone Studies Seminar In Mali,Chérif Keïta,Winter,19,Mali,Mali
2000/03,2000/06,French Seminar In Paris,Éva Pósfay,Spring,20,France,France
1999/08,1999/11,Geology Seminar In Italy,David Bice,Fall,24,Italy,Italy
1999/08,1999/11,German Seminar In Munich,Julie Klassen,Fall,13,Germany,Germany
1999/12,2000/03,Marine Biology Seminar In Australia & New Zealand,Gary Wagenbach,Winter,24,Australia,"Australia, New Zealand"
2000/03,2000/06,Political Economy Seminar In Beijing,Roy Grow,Spring,35,China,China
1999/12,2000/03,Spanish Seminar In Morelia,Silvia L. López,Winter,17,Mexico,Mexico
