Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
1989/08,1989/11,Art History In Greece,Dale Haworth,Fall,16,Greece,Greece
1989/06,1989/08,Economics Seminar In Cambridge,H. Scott Bierman,Summer,21,UK,UK
1989/12,1990/03,English & Psychology Seminar In London,Constance Walker & Neil Lutsky,Winter,36,UK,UK
1990/03,1990/06,French Language In Pau I,Chérif Keïta,Spring,13,France,France
1990/03,1990/06,French Language In Pau II,Patrick Lobert,Winter/Spring,18,France,France
1989/12,1990/03,Geology In Bermuda,Audrey Massa,Winter,21,Bermuda,Bermuda
1989/08,1989/11,"German Seminar In Graz, Austria",Anne Ulmer,Fall,18,Austria,Austria
1989/06,1989/08,International Relations Seminar In Geneva,Hartley Clark,Summer,25,Switzerland,Switzerland
1989/08,1989/11,Marine Biology Seminar In Australia,Gary Wagenbach,Fall,25,Australia,Australia
1990/03,1990/06,Political Economy Seminar In Beijing,Roy Grow & Penelope Prime,Spring,40,China,China
1989/12,1990/03,Spanish Seminar In Morelia,Becky Boling,Winter,9,Mexico,Mexico
