Start Date,End Date,Program Title,Faculty Director,Term,Number of Participants,Country,Countries Visited,Photos
1994/12,1995/03,American Studies Seminar In California,Mike Kowalewski,Winter,24,USA,USA
1994/06,1994/08,Economics Seminar In Cambridge,Mark Kanazawa,Summer,21,UK,UK
1994/08,1994/11,English Seminar In London,Ruth Weiner,Fall,18,UK,UK
1995/03,1995/06,French Language In Pau I,Marie-Christine Massé,Spring,17,France,France
1995/03,1995/06,French Seminar In Paris,Carl Weiner,Spring,22,France,France
1994/08,1994/11,German In Seminar In Bonn,Sigrun Leonhard,Fall,12,Germany,Germany
1995/03,1995/06,Political Economy Seminar In Beijing,Roy Grow,Spring,33,China,China
1994/12,1995/03,"Political Science Seminar In Washington, D.C.",Steven Schier,Winter,20,USA,USA
1995/03,1995/06,Russian Seminar In Moscow,Diane Nemec Ignashev,Spring,23,Russia,Russia
1994/12,1995/03,Spanish Seminar In Morelia,Becky Boling,Winter,20,Mexico,Mexico
1994/12,1995/03,Tropical Field Ecology In Costa Rica,Mark McKone,Winter Break,NDA,Costa Rica,Costa Rica
